# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
ReportDate	Source	inventory_id	language_code_id	alternative_language_names	root	wals_genus	area	glyph
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɡ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	j
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	m
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	l
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	n
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	p
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	b
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	s
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	t
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	d
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	w
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ʊ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɔ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	r
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɪ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	f
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ũ
