# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
arn	arn	26	20	11	9	6	6	6	0	arcn	Araucanian	-39:0	-71:0	2e+05	5.30102999566398
arr	arr	27	14	6	8	11	11	7	2	tupi	Ramarama	-10:23	-61:35	170	2.23044892137827
ary	ary	78	74	19	55	4	4	3	0	afas	Semitic	32:30	-07:30	18800000	7.27415784926368
arz	arz	67	58	12	46	9	9	4	0	afas	Semitic	31:0	31:0	52500000	7.72015930340596
atb	atb	32	21	7	14	8	5	5	3	sitb		24:13	98:14	80000	4.90308998699194
aty	aty	26	21	9	12	5	5	5	0	anes	Oceanic	-20:10	169:50	900	2.95424250943932
auc	auc	21	11	5	6	10	10	5	0	_auc	Waorani	-1:0	-76:25	1650	3.21748394421391
auy	auy	20	11	7	4	6	6	5	3	trng	Eastern Highlands	-06:35	145:45	11100	4.04532297878666
ava	ava	49	44	20	24	5	5	5	0	ncau	Avar-Andic-Tsezic	43:20	47:0	744000	5.87157293554588
avt	avt	17	10	5	5	7	7	6	0	torr	Wapei-Palei	-03:30	142:05	8000	3.90308998699194
avu	avu	55	37	17	20	14	14	7	4	nsah	Moru-Madi	04:55	30:0	40000	4.60205999132796
awn	awn	39	28	8	20	7	7	7	4	afas	Central Cushitic	10:50	36:40	5e+05	5.69897000433602
awx	awx	25	19	6	13	6	6	6	0	trng		-06:15	146:20	1870	3.2718416065365
ayl	ayl	50	34	9	25	16	8	8	0	afas	Semitic	29:0	28:0	4e+06	6.60205999132796
ayr	ayr	42	36	9	27	6	6	3	0	ayma	Aymaran	-16:30	-70:0	1790000	6.25285303097989
ayz	ayz	16	11	5	6	5	5	5	0	wpap	North-Central Birds Head	-01:15	132:40	20000	4.30102999566398
azb	azb	34	25	4	21	9	9	9	0	altc	Turkic	35:50	44:15	11200000	7.04921802267018
azo	azo	56	39	17	22	17	17	9	0	ncon		05:52	10:17	19000	4.27875360095283
bak	bak	38	27	7	20	11	11	11	0	altc	Turkic	55:0	55:0	1380000	6.13987908640124
bam	bam	35	21	8	13	14	14	7	0	ncon	Western Mande	10:05	-07:10	2700000	6.43136376415899
bao	bao	25	11	3	8	12	12	6	2	tucn	Tucanoan	00:25	-70:20	600	2.77815125038364
bas	bas	41	29	15	14	7	7	7	5	ncon	Bantoid	04:00	10:30	230000	5.36172783601759
bav	bav	82	56	34	22	17	17	9	9	ncon	Bantoid	06:07	10:25	27000	4.43136376415899
bax	bax	38	28	9	19	10	10	10	0	ncon	Bantoid	05:40	10:50	215000	5.3324384599156
bba	bba	30	18	6	12	12	12	7	0	ncon	Gur	10:20	02:30	460000	5.66275783168157
bbc	bbc	27	18	7	11	9	9	9	0	anes	Sumatra	02:30	99:30	2e+06	6.30102999566398
bbk	bbk	33	26	7	19	7	7	7	0	ncon		06:05	10:19	22500	4.35218251811136
bbl	bbl	45	35	5	30	10	10	5	0	ncau	Nakh	42:30	45:30	3420	3.53402610605613
bbo	bbo	33	21	8	13	12	12	7	0	ncon	Western Mande	12:20	-04:20	35000	4.54406804435028
bbw	bbw	30	23	9	14	7	7	7	0	ncon		06:07	10:31	24500	4.38916608436453
bbx	bbx	39	25	12	13	14	14	7	0	ncon		4:00`N	09:15	600	2.77815125038364
bby	bby	59	43	12	31	14	14	8	2	ncon		06:20	10:00	2980	3.47421626407626
bca	bca	29	18	8	10	11	11	11	0	sitb	Bai			8e+05	5.90308998699194
bce	bce	50	39	15	24	11	11	11	0	ncon		05:45	10:20	4000	3.60205999132796
bch	bch	17	12	5	7	5	5	5	0	anes		-05:35	148:45	1380	3.13987908640124
bci	bci	23	16	4	12	7	7	7	0	ncon	Kwa	07:00	-5:0	2130000	6.32837960343874
bcj	bcj	24	17	12	5	7	7	4	0	aust	Nyulnyulan	-16:45	123:0	380	2.57978359661681
bcs	bcs	38	28	8	20	10	10	10	0	ncon	Cross River	05:55	08:00	30000	4.47712125471966
bdl	bdl	32	26	18	8	6	6	6	0	anes	Sama-Bajaw	-04:25	123:0	150000	5.17609125905568
bdr	bdr	23	17	8	9	6	6	6	0	anes	Sama-Bajaw	04:30	116:0	55000	4.74036268949424
bdu	bdu	29	22	13	9	7	7	7	0	ncon	Bantoid	04:48	09:18	106000	5.02530586526477
bdy	bdy	16	12	8	4	4	4	4	0	aust	Pama-Nyungan	-28:20	153:0	10	1
beh	beh	27	14	6	8	10	10	6	3	ncon		11:20	01:10	64500	4.80955971463527
bej	bej	26	21	6	15	5	5	5	0	afas	Beja	19:00	36:0	951000	5.97818051693741
bem	bem	25	15	7	8	10	10	5	0	ncon		-10:0	31:0	3300000	6.51851393987789
