# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
ekp	ekp	37	24	7	17	9	9	9	4	ncon		05:00	06:30	30000	4.47712125471966
ell	ell	26	21	5	16	5	5	5	0	ieur	Greek	40:0	22:00	10700000	7.02938377768521
ema	ema	48	27	8	19	21	21	7	0	ncon	Edoid	07:05	06:00	1e+05	5
emk	emk	36	20	7	13	14	14	7	2	ncon	Western Mande	10:00	-9:0	1890000	6.27646180417324
enb	enb	36	13	8	5	20	20	10	3	nsah		01:05	35:35	161000	5.20682587603185
eng	eng	40	27	7	20	13	13	8	0	ieur	Germanic	53:0	-1:0	58100000	7.76417613239033
enn	enn	33	20	6	14	10	10	10	3	ncon	Edoid	05:10	06:25	20000	4.30102999566398
erk	erk	20	15	9	6	5	5	5	0	anes	Oceanic	-17:40	168:15	6000	3.77815125038364
esi	esi	27	24	9	15	3	3	3	0	eska	Eskimo	70:0	-162:0	6420	3.80753502806885
ess	ess	36	32	16	16	4	4	4	0	eska	Eskimo	63:30	-170:0	830	2.91907809237607
ets	ets	36	26	7	19	7	7	7	3	ncon	Edoid	07:10	06:30	274000	5.43775056282039
etu	etu	27	20	7	13	7	7	7	0	ncon	Bantoid	05:58	08:42	67300	4.82801506422398
eus	eus	28	23	7	16	5	5	5	0	basq	Basque	43:0	-2:0	580000	5.76342799356294
eve	eve	36	21	10	11	15	15	8	0	altc	Tungusic	69:20	128:0	7170	3.8555191556678
ewe	ewe	45	28	10	18	14	14	7	3	ncon	Kwa	06:30	00:30	2250000	6.35218251811136
ewo	ewo	34	26	13	13	8	8	8	0	ncon	Bantoid	04:00	12:00	578000	5.76192783842053
faa	faa	21	11	5	6	10	10	5	0	trng	Fasu	-06:25	143:10	1200	3.07918124604762
fai	fai	20	12	5	7	8	5	5	0	trng		-05:30	141:40	4500	3.65321251377534
fan	fan	41	25	13	12	16	16	8	0	ncon		-1:0	11:25	297000	5.47275644931721
ffm	ffm	37	27	12	15	10	10	5	0	ncon	Northern Atlantic	16:00	-2:0	1e+06	6
fia	fia	45	33	14	19	10	10	5	2	nsah	Nubian	21:00	30:0	295000	5.46982201597816
fij	fij	30	19	11	8	11	5	5	0	anes	Oceanic	-18:0	178:20	330000	5.51851393987789
fil	fil	27	17	7	10	10	10	5	0	anes				2.5e+07	7.39794000867204
fin	fin	42	25	9	16	17	17	9	0	urlc	Finnic	64:0	27:0	4700000	6.67209785793572
flr	flr	35	25	12	13	10	10	5	0	ncon		-03:05	29:0	3e+05	5.47712125471966
fmp	fmp	25	17	8	9	8	8	8	0	ncon	Bantoid	05:10	10:10	124000	5.09342168516223
fon	fon	42	24	7	17	14	14	7	4	ncon	Kwa	07:15	02:05	1400000	6.14612803567824
fra	fra	40	23	10	13	17	17	12	0	ieur	Romance	48:0	02:00	53200000	7.72591163229505
frr	frr	42	23	8	15	19	13	7	0	ieur	Germanic	54:30	09:00	10000	4
fub	fub	37	27	12	15	10	10	5	0	ncon	Northern Atlantic	07:00	13:30	669000	5.82542611776782
fuc	fuc	38	28	12	16	10	10	5	0	ncon	Northern Atlantic	15:00	-14:0	2740000	6.43775056282039
fuf	fuf	38	28	12	16	10	10	5	0	ncon	Northern Atlantic	09:35	-12:50	2550000	6.40654018043396
fuh	fuh	32	27	12	15	5	5	5	0	ncon	Northern Atlantic	14:00	02:00	450000	5.65321251377534
fun	fun	30	18	8	10	12	12	7	0	macg	Yatê	-9:0	-37:10	2930	3.46686762035411
fuq	fuq	37	27	12	15	10	10	5	0	ncon		15:00	07:00	450000	5.65321251377534
fur	fur	39	25	7	18	14	14	7	0	ieur		46:0	13:00	794000	5.8998205024271
fuu	fuu	41	31	13	18	10	7	7	0	nsah	Bongo-Bagirmi	04:20	20:40	12000	4.07918124604763
fvr	fvr	30	19	8	11	11	11	8	0	nsah	Fur	13:00	25:0	5e+05	5.69897000433602
fwa	fwa	35	19	8	11	16	15	8	0	anes	Oceanic	-20:35	164:55	1130	3.05307844348342
fwe	fwe	59	49	15	34	10	10	5	0	ncon		-17:45	25:20	10200	4.00860017176192
gaa	gaa	47	32	13	19	12	12	7	3	ncon	Kwa	05:40	00:10	6e+05	5.77815125038364
gaj	gaj	19	9	3	6	6	6	3	4	trng	Eastern Highlands	-06:20	146:0	22100	4.34439227368511
gay	gay	27	19	8	11	8	8	8	0	anes	Gayo	04:30	97:0	3e+05	5.47712125471966
gbc	gbc	22	19	13	6	3	3	3	0	aust	Garrwan	-17:15	137:40	110	2.04139268515822
gbd	gbd	20	17	12	5	3	3	3	0	aust	Pama-Nyungan	-18:50	122:10	12	1.07918124604762
gbo	gbo	36	19	7	12	13	13	7	4	ncon		05:15	-8:0	84500	4.92685670894969
gbp	gbp	45	31	15	16	12	12	7	2	ncon	Ubangi	06:40	17:30	2e+05	5.30102999566398
gbr	gbr	26	20	6	14	6	6	5	0	ncon	Nupoid	09:35	07:00	7e+05	5.84509804001426
gby	gby	31	24	5	19	7	7	7	0	ncon	Nupoid	08:45	07:00	350000	5.54406804435028
gde	gde	36	30	12	18	4	4	4	2	afas	Biu-Mandara	10:10	13:25	68000	4.83250891270624
gej	gej	44	27	7	20	14	14	7	3	ncon		06:15	01:45	201000	5.30319605742049
gid	gid	38	28	9	19	8	8	8	2	afas	Biu-Mandara	10:00	14:00	54000	4.73239375982297
gio	gio	43	31	17	14	12	7	7	0	taik	Kadai			3000	3.47712125471966
gjn	gjn	39	23	8	15	14	14	7	2	ncon		08:50	00:45	230000	5.36172783601759
gju	gju	50	32	10	22	18	18	4	0	ieur	Indic	32:45	76:15	690000	5.83884909073726
gkp	gkp	35	27	8	19	8	8	8	0	ncon		08:00	-9:0	308000	5.48855071650044
gld	gld	24	18	9	9	6	6	6	0	altc	Tungusic	49:30	136:50	3890	3.58994960132571
gle	gle	68	44	21	23	24	24	9	0	ieur	Celtic	53:30	-08:15	260000	5.41497334797082
glg	glg	28	21	10	11	7	7	7	0	ieur	Romance	43:0	-8:0	3170000	6.50105926221775
gmm	gmm	37	28	13	15	7	7	7	2	ncon	Ubangi			20000	4.30102999566398
gmo	gmo	29	24	14	10	5	5	5	0	afas	North Omotic	06:40	37:10	4e+05	5.60205999132796
gnd	gnd	34	29	11	18	2	2	2	3	afas		10:50	14:05	26000	4.41497334797082
gng	gng	39	22	9	13	14	14	7	3	ncon		10:25	00:50	46000	4.66275783168157
god	god	42	26	8	18	13	13	13	3	ncon	Kru	05:30	-05:50	26400	4.42160392686983
grg	grg	54	45	20	25	9	9	9	0	trng		-05:40	146:25	380	2.57978359661681
grt	grt	26	21	10	11	5	5	5	0	sitb	Bodo-Garo	25:40	90:30	780000	5.89209460269048
gub	gub	21	14	6	8	7	7	7	0	tupi	Tupi-Guaraní	-05:15	-46:20	15000	4.17609125905568
guc	guc	46	28	10	18	18	18	6	0	arwk	Arawakan	11:30	-72:40	135000	5.13033376849501
gug	gug	36	24	9	15	12	12	6	0	tupi	Tupi-Guaraní	26:0	56:0	4650000	6.66745295288995
guh	guh	29	17	5	12	12	12	6	0	guah	Guahiban	05:00	-69:0	23000	4.36172783601759
gum	gum	24	18	7	11	6	6	6	0	barb	Barbacoan	02:30	-76:35	23500	4.37106786227174
gup	gup	24	19	13	6	5	5	5	0	aust	Gunwinygic	-12:20	133:30	1410	3.14921911265538
guq	guq	21	11	6	5	10	10	5	0	tupi	Tupi-Guaraní	-25:20	-55:15	1360	3.13353890837022
gux	gux	33	20	8	12	10	10	5	3	ncon	Gur	12:00	01:00	6e+05	5.77815125038364
gvc	gvc	24	16	3	13	6	6	6	2	tucn	Tucanoan	01:15	-69:25	550	2.74036268949424
gvf	gvf	23	13	6	7	10	10	5	0	trng	Chimbu	-06:15	144:50	51100	4.70842090013471
gvn	gvn	16	13	10	3	3	3	3	0	aust	Pama-Nyungan	-16:05	145:30	240	2.38021124171161
gya	gya	53	30	14	16	19	19	7	4	ncon	Ubangi	06:00	15:00	2e+05	5.30102999566398
hag	hag	29	23	8	15	6	6	6	0	ncon		09:20	-01:35	6800	3.83250891270624
hak	hak	31	21	8	13	6	6	6	4	sitb	Chinese	25:0	116:0	25700000	7.40993312333129
hau	hau	45	32	9	23	10	10	5	3	afas	West Chadic	12:00	06:00	18500000	7.26717172840301
haw	haw	19	9	4	5	10	10	5	0	anes	Oceanic	20:00	-157:0	1000	3
hay	hay	29	19	6	13	10	10	5	0	ncon	Bantoid	-2:0	31:40	1300000	6.11394335230684
hch	hch	25	15	6	9	10	10	5	0	utaz	Corachol	22:00	-104:0	20000	4.30102999566398
hdn	hdn	50	47	13	34	3	3	3	0	nadn	Haida	54:0	-132:0	30	1.47712125471966
heb	heb	30	24	5	19	6	6	5	0	afas	Semitic	31:45	35:10	4850000	6.68574173860226
hin	hin	94	71	16	55	23	19	6	0	ieur	Indic	25:0	77:0	1.8e+08	8.25527250510331
hix	hix	23	18	7	11	5	5	5	0	cari	Cariban	00:15	-58:30	600	2.77815125038364
hoa	hoa	21	16	5	11	5	5	5	0	anes	Oceanic	-08:10	157:30	460	2.66275783168157
hop	hop	49	31	13	18	18	16	5	0	utaz	Hopi	35:45	-110:30	5260	3.72098574415374
hrv	hrv	36	25	8	17	11	10	5	0	ieur	Slavic			3980000	6.59988307207369
hts	hts	62	57	17	40	5	5	5	0	khoi	Hadza	-03:45	35:0	800	2.90308998699194
hum	hum	33	20	7	13	10	10	5	3	ncon		-03:40	18:25	400	2.60205999132796
hun	hun	65	50	14	36	15	15	8	0	urlc	Ugric	47:0	20:00	9550000	6.98000337158375
hup	hup	42	35	6	29	7	7	4	0	nadn	Athapaskan	41:0	-124:0	8	0.903089986991944
hur	hur	47	32	7	25	12	12	6	3	sali	Central Salish	49:15	-122:0	200	2.30102999566398
hus	hus	36	26	6	20	10	10	5	0	maya		21:20	-98:15	121750	5.08546896988667
huv	huv	24	18	7	11	6	6	6	0	huav	Huavean	16:10	-95:05	12000	4.07918124604763
hye	hye	37	31	6	25	6	6	6	0	ieur	Armenian	40:0	45:0	3140000	6.49692964807322
iai	iai	52	33	14	19	19	19	11	0	anes	Oceanic	-20:35	166:35	1560	3.19312459835446
iba	iba	25	19	8	11	6	6	6	0	anes	Malayic	01:00	112:0	658000	5.81822589361396
ibo	ibo	65	46	11	35	16	16	8	3	ncon	Igboid	06:00	07:00	1.8e+07	7.25527250510331
iby	iby	38	25	8	17	10	10	10	3	ncon		04:25	07:15	60000	4.77815125038364
ife	ife	34	19	4	15	12	12	7	3	ncon		08:00	01:45	102000	5.00860017176192
igb	igb	31	19	7	12	9	9	9	3	ncon	Nupoid	07:15	06:10	1e+06	6
ige	ige	38	24	9	15	10	10	10	4	ncon	Idomoid	07:05	08:05	250000	5.39794000867204
ign	ign	25	21	8	13	4	4	4	0	arwk	Arawakan	-15:10	-65:25	4500	3.65321251377534
igo	igo	23	9	2	7	14	14	7	0	trng		-05:15	145:40	910	2.95904139232109
ijc	ijc	37	19	7	12	18	18	9	0	ncon	Ijoid	04:50	05:45	1e+06	6
ijn	ijn	43	22	6	16	18	18	9	3	ncon		04:30	06:40	258000	5.41161970596323
ijs	ijs	44	24	7	17	18	18	9	2	ncon		04:30	06:25	71500	4.85430604180108
ikx	ikx	44	31	11	20	13	13	13	0	nsah	Kuliak	03:35	34:20	10000	4
ilo	ilo	21	17	7	10	4	4	4	0	anes	Northern Philippines	18:00	120:30	6920000	6.84010609445676
imn	imn	23	13	4	9	10	10	10	0	trng	Border	-03:15	141:10	250	2.39794000867204
ind	ind	31	22	8	14	9	6	6	0	anes	Malayic	-06:10	106:50	22800000	7.35793484700045
inh	inh	48	35	6	29	13	9	6	0	ncau	Nakh	43:10	44:50	413000	5.6159500516564
irh	irh	19	12	7	5	7	7	7	0	anes	South Halmahera - West New Guinea	-3:0	133:30	4000	3.60205999132796
irk	irk	48	33	8	25	12	12	7	3	afas	Southern Cushitic	-4:0	35:10	462000	5.66464197555613
irn	irn	39	21	11	10	18	12	6	0	arwk	Arawakan	-12:40	-57:50	190	2.27875360095283
isl	isl	39	23	10	13	16	16	8	0	ieur	Germanic	65:0	17:00	230000	5.36172783601759
iso	iso	37	28	9	19	9	9	9	0	ncon	Edoid	05:30	06:15	423000	5.62634036737504
ita	ita	30	23	8	15	7	7	7	0	ieur	Romance	43:45	11:15	5.5e+07	7.74036268949424
itl	itl	32	27	11	16	5	5	5	0	chka	Southern Chukotko-Kamchatkan	57:0	156:50	380	2.57978359661681
ito	ito	25	19	6	13	6	6	6	0	_ito	Itonama	-12:50	-64:20	10	1
ium	ium	49	35	15	20	8	8	7	6	hmom	Hmong-Mien	20:50	101:10	383000	5.58319877396862
ivv	ivv	23	19	8	11	4	4	4	0	anes	Northern Philippines	20:15	121:55	35000	4.54406804435028
iwm	iwm	17	11	6	5	6	6	6	0	sepr	Upper Sepik	-04:15	141:55	3000	3.47712125471966
izi	izi	51	40	12	28	9	9	9	2	ncon	Igboid	06:15	08:00	593000	5.77305469336426
jaa	jaa	15	11	5	6	4	4	4	0	arau	Arauan	-07:20	-66:15	480	2.68124123737559
jac	jac	32	27	7	20	5	5	5	0	maya	Mayan	15:35	-91:35	11000	4.04139268515823
jao	jao	32	29	22	7	3	3	3	0	aust	Pama-Nyungan	-15:50	136:0	52	1.7160033436348
jar	jar	39	28	9	19	11	11	11	0	ncon	Bantoid	09:45	10:00	150000	5.17609125905568
jav	jav	30	22	9	13	8	8	8	0	anes	Javanese	-1:0	101:40	84300000	7.92582757462474
jbj	jbj	18	13	3	10	5	5	5	0	trng	South Birds Head	-2:0	132:30	1000	3
jeb	jeb	23	19	12	7	4	4	4	0	cahu	Cahuapanan	-05:25	-76:20	2500	3.39794000867204
jic	jic	28	22	12	10	6	6	6	0	_jic	Tol	14:40	-87:0	350	2.54406804435028
jiv	jiv	24	16	6	10	8	8	4	0	jiva	Jivaroan	-02:30	-78:0	46700	4.66931688056611
jpn	jpn	40	27	6	21	11	11	5	2	japo	Japanese	35:0	135:0	1.21e+08	8.08278537031645
jqr	jqr	39	36	9	27	3	3	3	0	ayma	Aymaran	-12:50	-75:55	740	2.86923171973098
jru	jru	24	12	5	7	12	12	6	0	cari	Cariban	10:45	-72:40	95	1.97772360528885
jun	jun	29	19	8	11	10	10	5	0	ausa	Munda	21:20	86:0	50000	4.69897000433602
jup	jup	29	20	4	16	9	9	9	0	maku	Nadahup	00:40	-69:40	1210	3.08278537031645
jya	jya	57	49	16	33	8	8	8	0	sitb	rGyalrong	31:30	102:0	83000	4.91907809237607
kab	kab	30	27	3	24	3	3	3	0	afas	Berber	36:30	04:30	2540000	6.40483371661994
kac	kac	30	25	13	12	5	5	5	0	sitb	Jinghpo	25:25	97:0	9e+05	5.95424250943933
kal	kal	38	32	9	23	6	6	3	0	eska	Eskimo	64:0	51:0	47800	4.67942789661212
kas	kas	56	27	6	21	29	29	7	0	ieur	Indic	34:0	76:0	5420000	6.73399928653839
kat	kat	35	29	5	24	6	6	5	0	kart	Kartvelian	42:0	44:0	3900000	6.5910646070265
kbc	kbc	31	23	10	13	8	8	4	0	mgua	Guaicuruan	-20:30	-56:50	1590	3.20139712432045
kbd	kbd	56	49	5	44	7	7	2	0	ncau	Northwest Caucasian	43:35	43:0	520000	5.7160033436348
kbh	kbh	28	22	8	14	6	6	6	0	_kbh	Camsá	01:10	-76:55	4770	3.67851837904011
kbk	kbk	16	11	3	8	5	5	5	0	trng	Koiarian	-09:30	147:30	1700	3.23044892137827
kbp	kbp	47	22	7	15	23	23	14	2	ncon	Gur	08:40	01:00	7e+05	5.84509804001426
kbr	kbr	27	22	9	13	5	5	5	0	afas	South Omotic	07:20	36:0	570000	5.75587485567249
kbv	kbv	17	11	7	4	6	6	6	0	trng	Senagi	-03:30	140:55	1000	3
kca	kca	31	18	9	9	13	13	13	0	urlc	Ugric	65:0	65:0	13600	4.13353890837022
kcl	kcl	30	16	7	9	14	10	5	0	anes	Oceanic	-07:25	147:05	2150	3.33243845991561
kde	kde	28	18	7	11	5	5	5	5	ncon	Bantoid	-10:35	39:25	980000	5.9912260756925
kdh	kdh	36	25	9	16	9	9	9	2	ncon	Gur	09:00	01:00	204000	5.3096301674259
kdt	kdt	47	22	8	14	25	22	11	0	ausa		14:50	103:55	4e+05	5.60205999132796
kek	kek	26	21	5	16	5	5	5	0	maya	Mayan	16:00	-90:0	4e+05	5.60205999132796
ken	ken	41	21	7	14	20	20	10	0	ncon	Bantoid	05:35	09:30	65000	4.81291335664286
ker	ker	30	24	8	16	6	6	6	0	afas	East Chadic	09:45	15:10	44500	4.64836001098093
ket	ket	32	18	6	12	14	14	7	0	yeos	Yeniseian	64:0	87:0	190	2.27875360095283
kfe	kfe	34	23	9	14	11	11	6	0	drav	Southern Dravidian	11:30	77:10	900	2.95424250943932
kff	kff	24	19	7	12	5	5	5	0	drav	South-Central Dravidian	17:30	81:20	3e+05	5.47712125471966
kfk	kfk	46	31	8	23	15	15	9	0	sitb	Bodic	31:30	78:0	63800	4.80482067872116
kgg	kgg	38	32	9	23	6	6	6	0	sitb	Kusunda	28:0	84:40	7	0.845098040014257
kgp	kgp	27	13	7	6	14	14	9	0	macg	Ge-Kaingang	-24:25	-51:20	25875	4.41288035846497
kha	kha	28	19	6	13	9	9	8	0	ausa	Khasian	25:30	92:0	865000	5.93701610746481
khb	khb	31	22	5	17	9	9	9	0	taik	Kam-Tai	21:05	101:05	280000	5.44715803134222
khc	khc	29	24	12	12	5	5	5	0	anes	Sulawesi	-05:30	123:40	120000	5.07918124604763
khk	khk	35	21	6	15	14	14	7	0	altc	Mongolic	47:0	105:0	2330000	6.36735592102602
khl	khl	28	18	9	9	10	10	5	0	anes	Oceanic	-05:35	149:05	2000	3.30102999566398
khm	khm	42	21	8	13	21	18	8	0	ausa	Khmer	12:30	105:0	12300000	7.0899051114394
khq	khq	36	21	8	13	15	15	5	0	nsah	Songhay	16:15	-03:30	2e+05	5.30102999566398
khr	khr	48	38	14	24	10	6	6	0	ausa	Munda	22:30	84:20	292000	5.46538285144842
kig	kig	44	20	7	13	20	18	9	4	trng	Kolopom	-8:0	138:30	3000	3.47712125471966
kik	kik	32	18	11	7	14	14	7	0	ncon	Bantoid	00:30	37:0	7180000	6.8561244442423
kin	kin	49	39	11	28	10	10	5	0	ncon	Bantoid	-2:0	30:0	6490000	6.81224469680037
kio	kio	42	22	4	18	20	12	6	0	kita	Kiowa-Tanoan	34:20	-98:35	1100	3.04139268515822
kir	kir	36	20	6	14	16	16	8	0	altc	Turkic	42:0	74:0	2450000	6.38916608436453
kjd	kjd	19	12	7	5	7	5	5	0	trng	Kiwaian	-08:35	143:15	9700	3.98677173426624
kjg	kjg	41	23	14	9	18	15	5	0	ausa	Palaung-Khmuic	19:55	101:25	390000	5.5910646070265
kjn	kjn	28	23	10	13	5	5	5	0	aust	Pama-Nyungan	-16:45	143:30	20	1.30102999566398
kjq	kjq	51	39	10	29	12	5	5	0	kere	Keresan	35:0	-107:30	3390	3.53019969820308
kjs	kjs	20	15	9	6	5	5	5	0	trng	Engan	-06:20	143:55	45000	4.65321251377534
kkj	kkj	50	33	14	19	13	13	7	4	ncon		04:20	14:15	1e+05	5
kkk	kkk	27	22	10	12	5	5	5	0	anes	Oceanic	-8:0	159:10	530	2.72427586960079
kkw	kkw	28	21	8	13	7	7	7	0	ncon	Bantoid	-02:20	14:30	38800	4.58883172559421
kla	kla	37	33	14	19	4	4	4	0	penu	Klamath-Modoc	42:30	-121:45	1	0
kle	kle	43	22	7	15	21	12	6	0	sitb	Bodic	09:10	11:05	18700	4.2718416065365
klu	klu	27	11	4	7	16	16	9	0	ncon	Kru	05:00	-08:35	213000	5.32837960343874
kma	kma	49	31	13	18	18	18	9	0	ncon	Gur	10:15	-01:35	3800	3.57978359661681
kme	kme	34	27	14	13	7	7	7	0	ncon		04:25	08:58	300	2.47712125471966
kmn	kmn	18	11	7	4	7	7	7	0	sepr	Ram	-03:30	141:55	510	2.70757017609794
kmo	kmo	31	24	13	11	7	7	7	0	sepr	Middle Sepik	-04:05	142:40	3000	3.47712125471966
kmr	kmr	47	30	9	21	17	9	4	0	ieur	Iranian	37:0	43:0	3950000	6.59659709562646
kms	kms	29	23	11	12	6	6	6	0	torr	Marienberg	-03:50	143:50	960	2.98227123303957
kmw	kmw	35	24	9	15	7	7	7	4	ncon		00:15	26:30	4e+05	5.60205999132796
kna	kna	35	24	13	11	11	11	6	0	afas	West Chadic	10:00	12:00	20000	4.30102999566398
knc	knc	35	25	9	16	6	6	6	4	nsah	Western Saharan	12:00	12:00	3e+06	6.47712125471966
knn	knn	37	19	6	13	18	18	9	0	ieur	Indic	15:15	74:0	4e+06	6.60205999132796
kor	kor	40	22	11	11	18	18	10	0	_kor	Korean	37:30	128:0	4.2e+07	7.6232492903979
kpk	kpk	34	24	6	18	10	10	5	0	ncon	Platoid	07:35	10:10	11400	4.05690485133647
kpm	kpm	37	27	10	17	10	10	10	0	ausa	Bahnaric	11:40	108:0	129000	5.11058971029925
kpr	kpr	24	19	9	10	5	5	5	0	trng	Binanderean	-09:05	149:10	3630	3.55990662503611
kpv	kpv	36	29	8	21	7	7	7	0	urlc	Finnic	65:0	55:0	217000	5.33645973384853
kpy	kpy	21	16	7	9	5	5	5	0	chka	Northern Chukotko-Kamchatkan	62:30	162:0	3500	3.54406804435028
kpz	kpz	26	14	11	3	12	12	6	0	nsah	Nilotic	01:20	34:35	181000	5.25767857486918
kqs	kqs	42	22	10	12	20	20	7	0	ncon	Southern Atlantic	09:00	-10:0	287000	5.45788189673399
krs	krs	56	41	14	27	10	10	10	5	nsah	Kresh	08:35	25:0	16000	4.20411998265593
kru	kru	68	46	13	33	22	22	6	0	drav	Northern Dravidian	22:50	85:30	2050000	6.31175386105575
ksi	ksi	18	9	2	7	5	5	5	4	skoo	Krisa	-02:45	141:20	420	2.6232492903979
ksw	ksw	39	27	8	19	9	9	9	3	sitb	Karen	18:00	97:0	1280000	6.10720996964787
ktn	ktn	25	11	6	5	14	14	5	0	tupi	Arikem	-09:20	-64:10	320	2.50514997831991
kto	kto	19	13	5	8	6	6	6	0	epap	Kuot	-03:05	151:30	2400	3.38021124171161
ktz	ktz	141	95	21	74	46	24	7	0	khoi	Northern Khoisan	-19:40	21:35	5000	3.69897000433602
kub	kub	46	28	13	15	13	13	7	5	ncon		07:10	10:00	44600	4.64933485871214
kuj	kuj	22	15	8	7	7	7	7	0	ncon		-01:35	35:0	430000	5.63346845557959
kun	kun	26	19	8	11	7	7	7	0	nsah	Kunama	15:25	36:50	187000	5.2718416065365
kup	kup	20	15	5	10	5	5	5	0	trng	Goilalan	-08:05	146:55	8200	3.91381385238372
kus	kus	44	22	8	14	22	22	9	0	ncon		10:55	00:20	420000	5.6232492903979
kvn	kvn	21	16	9	7	5	5	5	0	chib	Kuna	08:00	-76:50	500	2.69897000433602
kwd	kwd	21	16	10	6	5	5	5	0	anes	Oceanic	-08:55	160:55	13200	4.12057393120585
kwi	kwi	21	14	6	8	7	7	7	0	barb	Barbacoan	01:20	-78:05	20000	4.30102999566398
kwk	kwk	55	46	14	32	9	9	6	0	waka	Northern Wakashan	50:55	-127:0	190	2.27875360095283
kxl	kxl	39	34	12	22	5	5	5	0	drav		26:50	86:0	28600	4.45636603312904
kxm	kxm	43	24	11	13	19	16	3	0	ausa		14:35	103:15	1400000	6.14612803567824
kxv	kxv	37	22	8	14	15	15	5	0	drav	South-Central Dravidian	18:45	82:40	350000	5.54406804435028
kyh	kyh	41	27	6	21	11	11	4	3	hoka	Karok	41:40	-123:15	10	1
kyz	kyz	24	14	6	8	10	10	5	0	tupi	Tupi-Guaraní	-10:55	-57:25	1000	3
kza	kza	45	20	7	13	21	21	7	4	ncon	Gur	10:35	-04:50	30200	4.48000694295715
kzr	kzr	40	30	12	18	6	6	6	4	ncon		07:40	15:00	17000	4.23044892137827
lag	lag	52	32	17	15	20	20	10	0	ncon	Bantoid	-04:50	36:0	350000	5.54406804435028
lao	lao	40	28	9	19	12	9	9	0	taik	Kam-Tai	17:20	105:10	3e+06	6.47712125471966
las	las	53	17	8	9	33	33	11	3	ncon		10:05	01:00	117000	5.06818586174616
lbc	lbc	59	34	17	17	19	19	5	6	taik	Kadai	24:05	110:10	12000	4.07918124604763
lbe	lbe	69	60	6	54	9	9	6	0	ncau	Lak-Dargwa	42:0	47:0	157000	5.19589965240923
lbj	lbj	38	33	8	25	5	5	5	0	sitb	Bodic	34:0	78:0	150000	5.17609125905568
lch	lch	42	32	16	16	10	10	5	0	ncon	Bantoid	-13:0	20:15	155000	5.19033169817029
led	led	55	43	14	29	8	8	8	4	nsah	Lendu	02:20	30:35	750000	5.8750612633917
lee	lee	44	24	10	14	16	16	8	4	ncon	Gur	12:25	-02:35	130000	5.11394335230684
lef	lef	34	22	7	15	12	12	7	0	ncon	Kwa	07:20	00:35	48900	4.68930885912362
lem	lem	30	14	7	7	14	14	7	2	ncon		04:35	10:55	6000	3.77815125038364
lgg	lgg	42	27	11	16	12	12	11	3	nsah	Moru-Madi	03:00	31:0	797000	5.90145832139611
lhu	lhu	40	26	6	20	9	9	9	5	sitb	Burmese-Lolo	20:45	100:45	280000	5.44715803134222
lia	lia	24	17	7	10	7	7	7	0	ncon		09:40	-12:0	335000	5.52504480703685
lig	lig	38	22	7	15	14	14	7	2	ncon		07:55	-02:25	15000	4.17609125905568
lin	lin	22	15	7	8	7	7	7	0	ncon	Bantoid	02:00	18:30	2040000	6.3096301674259
lis	lis	39	25	6	19	8	8	8	6	sitb	Burmese-Lolo	19:30	98:45	610000	5.78532983501077
lit	lit	47	36	9	27	11	11	5	0	ieur	Baltic	55:0	24:0	2960000	6.47129171105894
lkt	lkt	36	27	4	23	9	9	5	0	siou	Siouan	45:0	-101:30	6200	3.79239168949825
lln	lln	36	23	9	14	10	10	5	3	afas	East Chadic	09:10	15:45	26000	4.41497334797082
lme	lme	38	30	11	19	8	5	5	0	afas	Masa	09:15	14:35	30000	4.47712125471966
lmp	lmp	35	22	7	15	7	7	7	6	ncon		06:30	10:45	73000	4.86332286012046
lmw	lmw	39	29	6	23	10	10	5	0	penu	Miwok	39:0	-122:30	2	0.301029995663981
lns	lns	45	26	8	18	12	12	6	7	ncon	Bantoid	06:10	10:45	125000	5.09691001300806
lok	lok	25	18	7	11	7	7	7	0	ncon	Western Mande	09:15	-12:0	138000	5.13987908640124
lom	lom	42	28	8	20	14	14	8	0	ncon	Western Mande	08:00	-09:50	165000	5.21748394421391
lor	lor	38	28	11	17	10	10	10	0	ncon		10:00	-03:30	6100	3.78532983501077
los	los	23	16	9	7	7	7	7	0	anes	Oceanic	-2:0	147:25	460	2.66275783168157
lue	lue	36	22	12	10	10	10	5	4	ncon	Bantoid	-14:0	23:00	168000	5.22530928172586
lug	lug	33	19	7	12	10	10	5	4	ncon	Bantoid	00:30	32:0	4130000	6.6159500516564
lui	lui	34	23	7	16	11	11	6	0	utaz	Takic	33:30	-117:0	35	1.54406804435028
lun	lun	32	22	7	15	10	10	5	0	ncon	Bantoid	-12:0	24:30	450000	5.65321251377534
luo	luo	35	23	8	15	9	9	9	3	nsah	Nilotic	01:20	34:30	4270000	6.63042787502502
lut	lut	37	33	2	31	4	4	4	0	sali	Central Salish	48:20	-122:20	60	1.77815125038364
lvk	lvk	20	15	6	9	5	5	5	0	epap	Lavukaleve	-9:0	159:0	1780	3.25042000230889
lyn	lyn	22	17	7	10	5	5	5	0	ncon		-15:30	23:35	222000	5.34635297445064
