inventory_id	bibtex_key	language_code_id	source	alternative_language_names
88	Bright1957	kyh	SPA	Karok
89	Moshinsky1974	pom	SPA	Pomo
90	Langdon1970	dih	SPA	Digueno
91	Newman1965	zun	SPA	Zuni
92	Trager1971	tix	SPA	Tiwa
93	HoijerDozier1949	tew	SPA	Tewa
94	Malecot1963	lui	SPA	Luiseno
94	KroeberGrace1960	lui	SPA	Luiseno
94	Bright1965	lui	SPA	Luiseno
94	Bright1968	lui	SPA	Luiseno
95	Whorf1946	hop	SPA	Hopi
95	Voegelin1956	hop	SPA	Hopi
96	Hale1959	ood	SPA	Pima
96	Saxton1963	ood	SPA	Pima
97	BlightEunice1976	ote	SPA	Otomi
98	Spotts1953	maz	SPA	Mazahua
98	Pike1951	maz	SPA	Mazahua
99	PikePike1947	maq	SPA	Mazateco
100	HunterPike1969	mig	SPA	Mixtec
101	LindskoogBrend1962	cbi	SPA	Cayapa
102	Gerdel1973	pbb	SPA	Paez
103	LiccardiGrimes1968	ito	SPA	Itonama
104	Bills_etal1969	quh	SPA	Quechua
104	Lastra1968	quh	SPA	Quechua
104	Lastra1968	quh	SPA	Quechua
104	Parker1969	quh	SPA	Quechua
105	Hardman1966	jqr	SPA	Aymara
106	EcheverriaContreras1965	arn	SPA	Araucanian
107	Taylor1955	crb	SPA	Island Carib
108	Tracy1972	wap	SPA	Wapishana
109	Holmer1949	guc	SPA	Goajiro
110	Dirks1953	cni	SPA	Campa
111	OttOtt1967	ign	SPA	Moxo
112	Fast1953	ame	SPA	Amuesha
113	BeasleyPike1957	jiv	SPA	Jivaro
114	StolteStolte1971	bao	SPA	Barasano
115	Anderson1959	tca	SPA	Ticuna
115	Anderson1962	tca	SPA	Ticuna
116	Peasgood1972	car	SPA	Carib
116	Hoff1968	car	SPA	Carib
117	AgnewPike1957	oca	SPA	Ocaina
118	Priest1968	srq	SPA	Siriono
119	GregoresSuarez1967	gug	SPA	Guarani
119	Lunt1973	gug	SPA	Guarani
119	Uldall1956	gug	SPA	Guarani
120	Osborn1948	amc	SPA	Amahuaca
121	Prost1967	cao	SPA	Chacobo
122	BurgessHam1968	apn	SPA	Apinaye
123	Applegate1958	rif	SPA	Shilha
124	KraftKraft1973	hau	SPA	Hausa
124	Greenberg1941	hau	SPA	Hausa
124	Abraham1959a	hau	SPA	Hausa
124	Abraham1959	hau	SPA	Hausa
124	Kraft1963	hau	SPA	Hausa
124	Hodge1947	hau	SPA	Hausa
124	HodgeUmaru1963	hau	SPA	Hausa
124	BraunerAshiwajn1965	hau	SPA	Hausa
124	KraftKirk-Greene1973	hau	SPA	Hausa
125	Burquest1971	anc	SPA	Angas
126	Hoffmann1963	mrt	SPA	Margi
127	Armstrong1964	som	SPA	Somali
127	Andrzejewsky1955	som	SPA	Somali
127	Andrzejewsky1956	som	SPA	Somali
128	Hetzron1969	awn	SPA	Awiya
129	Whiteley1958	irk	SPA	Iraqw
130	Palmer1962	tig	SPA	Tigre
131	Leslau1968	amh	SPA	Amharic
131	Klingenheben1966	amh	SPA	Amharic
131	Sumner1957	amh	SPA	Amharic
132	Mitchell1962	arz	SPA	Egyptian Arabic
132	Tomiche1964	arz	SPA	Egyptian Arabic
132	Kennedy1960	arz	SPA	Egyptian Arabic
133	Harrell1962	ary	SPA	Moroccan Arabic
133	Abdel-Massih1973	ary	SPA	Moroccan Arabic
133	Harrell1965	ary	SPA	Moroccan Arabic
134	Borg1973	mlt	SPA	Maltese
135	Chayen1973	heb	SPA	Modern Hebrew
135	CohenZafrani1968	heb	SPA	Modern Hebrew
136	Stevenson1957	xtc	SPA	Katcha
136	TuckerBryan1966	xtc	SPA	Katcha
137	Welmers1962	xpe	SPA	Kpelle
137	Welmers1973	xpe	SPA	Kpelle
138	Sauvageot1965	wol	SPA	Wolof
138	ManessySauvageot1963	wol	SPA	Wolof
138	Ward1963	wol	SPA	Wolof
139	WilsonBendor-Samuel1969	dag	SPA	Dagbani
140	Ladefoged1964	aka	SPA	Akan
140	SchachterFromkin1968	aka	SPA	Akan
140	Stewart1967	aka	SPA	Akan
140	Welmers1946	aka	SPA	Akan
141	Berry1951a	gaa	SPA	Ga
142	Stahlke1970	ewe	SPA	Ewe
142	Berry1951	ewe	SPA	Ewe
142	Ansre1961	ewe	SPA	Ewe
142	Ladefoged1964	ewe	SPA	Ewe
143	Williamson1969	ibo	SPA	Igbo
143	Carnochan1948	ibo	SPA	Igbo
143	Swift_etal1962	ibo	SPA	Igbo
143	Ladefoged1968	ibo	SPA	Igbo
143	Ward1936	ibo	SPA	Igbo
144	Jacquot1962	beq	SPA	Beembe
145	Polome1967	swh	SPA	Swahili
146	Horton1949	lue	SPA	Luvale
147	Doke1926	zul	SPA	Zulu
147	Doke1961	zul	SPA	Zulu
148	Samarin1966	gbp	SPA	Gbeya
149	Prost1956	ses	SPA	Songhai
150	Lukas1937	knc	SPA	Kanuri
151	Crazzolara1960	lgg	SPA	Logbara
151	TuckerBryan1966	lgg	SPA	Logbara
152	Bell1971	fia	SPA	Mahas-Fiyadikka
153	Gregersen1961	luo	SPA	Luo
154	TuckerMpaayei1955	mas	SPA	Maasai
154	TuckerBryan1966	mas	SPA	Maasai
155	Beach1938	naq	SPA	Nama
156	Fhailigh1968	gle	SPA	Irish Gaelic
156	Florence1970	gle	SPA	Irish Gaelic
157	Ternes1970	bre	SPA	Breton
158	Haugen1958	isl	SPA	Icelandic
158	Einarsson1949	isl	SPA	Icelandic
159	Vanvik1972	nob	SPA	Norwegian
159	Vanvik1972a	nob	SPA	Norwegian
160	OConner1973	eng	SPA	English
160	Gimson1962	eng	SPA	English
160	Halle1973	eng	SPA	English
160	Fudge1975	eng	SPA	English
160	Trnka1968	eng	SPA	English
161	Moulton1962	deu	SPA	German
161	Philipp1974	deu	SPA	German
161	Werner1972	deu	SPA	German
162	Sten1963	fra	SPA	French
163	Head1964	por	SPA	Portuguese
163	Camara1972	por	SPA	Portuguese
164	Navarro1961	spa	SPA	Spanish
164	Harris1969	spa	SPA	Spanish
164	SaportaContreras1962	spa	SPA	Spanish
165	Agard1958	ron	SPA	Rumanian
165	Ruhlen1973	ron	SPA	Rumanian
166	JonesWard1969	rus	SPA	Russian
166	Halle1959	rus	SPA	Russian
167	Aronson1968	bul	SPA	Bulgarian
167	Klagstad1958	bul	SPA	Bulgarian
168	Senn1966	lit	SPA	Lithuanian
168	Augustitis1964	lit	SPA	Lithuanian
168	Ambrazas_etal1966	lit	SPA	Lithuanian
169	Newmark1957	als	SPA	Albanian
170	Householder_etal1964	ell	SPA	Modern Greek
170	Newton1972	ell	SPA	Modern Greek
170	Kaisse1975	ell	SPA	Modern Greek
170	Kaisse1976	ell	SPA	Modern Greek
171	Allen1950	hye	SPA	Armenian
172	Obolensky_etal1963	pes	SPA	Persian
173	Shafeev1964	pst	SPA	Pashto
174	KelkarTrisal1964	kas	SPA	Kashimiri
175	GillGleason1963	pan	SPA	Punjabi
176	Kelkar1968	hin	SPA	Hindi-Urdu
176	VermeerSharma1966	hin	SPA	Hindi-Urdu
176	Pinnow1953	hin	SPA	Hindi-Urdu
176	Srivastava1969	hin	SPA	Hindi-Urdu
177	FergusonChowdhury1960	ben	SPA	Bengali
178	CoatesSilva1960	sin	SPA	Sinhalese
179	Ndiaye1970	eus	SPA	Basque
179	Gavel1929	eus	SPA	Basque
180	Lehtinen1964	fin	SPA	Finnish
180	Harms1964	fin	SPA	Finnish
180	Austerlitz1967	fin	SPA	Finnish
180	Hammarberg1974	fin	SPA	Finnish
180	Kiparsky1968	fin	SPA	Finnish
180	Harms1966	fin	SPA	Finnish
181	Ristinen1960	mhr	SPA	Cheremis
182	Lytkin1966	kpv	SPA	Komi
182	Bubrich1949	kpv	SPA	Komi
183	Kalman1972	hun	SPA	Hungarian
183	Banhidi_etal1965	hun	SPA	Hungarian
183	Hall1938	hun	SPA	Hungarian
183	Hall1944	hun	SPA	Hungarian
184	Gulya1966	kca	SPA	Ostyak
184	Steinitz1950	kca	SPA	Ostyak
184	Katz1975	kca	SPA	Ostyak
185	Hajdu1963	yrk	SPA	Yurak
185	Decsy1966	yrk	SPA	Yurak
185	Ristinen1965	yrk	SPA	Yurak
185	Ristinen1968	yrk	SPA	Yurak
185	Katz1975	yrk	SPA	Yurak
186	Swift1963	tur	SPA	Turkish
186	Lees1961	tur	SPA	Turkish
186	Underhill1976	tur	SPA	Turkish
187	HouseholderLofti1965	azj	SPA	Azerbaijani
188	HerbertPoppe1963	kir	SPA	Kirghiz
189	Kruger1961	chv	SPA	Chuvash
189	Andreev1966	chv	SPA	Chuvash
190	Krueger1962	sah	SPA	Yakut
190	Bohtlingk1964	sah	SPA	Yakut
191	Hangin1968	khk	SPA	Khalkha
191	Luvsanvandan1964	khk	SPA	Khalkha
191	Street1963	khk	SPA	Khalkha
192	Novikova1960	eve	SPA	Even
193	Krejnovich1968b	yux	SPA	Yukaghir
193	Krejnovich1958	yux	SPA	Yukaghir
194	Panfilov1962	niv	SPA	Gilyak
194	Panfilov1968	niv	SPA	Gilyak
195	Skorik1968	ckt	SPA	Chukchi
195	Skorik1961	ckt	SPA	Chukchi
196	Simeon1969	ain	SPA	Ainu
197	Bloch1950	jpn	SPA	Japanese
197	Martin1952	jpn	SPA	Japanese
197	Jorden1963	jpn	SPA	Japanese
198	Bouny1977	aal	UPSID	KOTOKO
199	Olmsted1964	acv	UPSID	ACHUMAWI
199	Olmsted1966	acv	UPSID	ACHUMAWI
200	Holzknecht1973	adz	UPSID	ADZERA
201	NO SOURCE GIVEN	aer	UPSID	ARRERNTE
202	Roberts1987	aey	UPSID	AMELE
203	Huisman1973	agm	UPSID	ANGAATIHA
203	Huisman_etal1981	agm	UPSID	ANGAATIHA
203	HuismanLloyd1981	agm	UPSID	ANGAATIHA
204	Hyman1979	agq	UPSID	AGHEM
205	Herault1971	ahp	UPSID	AIZI
206	Kari1979	aht	UPSID	AHTNA
206	KariBuck1975	aht	UPSID	AHTNA
207	Patrie1982	ain	UPSID	AINU
207	Simeon1969	ain	UPSID	AINU
208	Dolphyne1988	aka	UPSID	AKAN
208	Ladefoged1964	aka	UPSID	AKAN
208	SchachterFromkin1968	aka	UPSID	AKAN
208	Stewart1967	aka	UPSID	AKAN
208	Welmers1946	aka	UPSID	AKAN
209	Edwards1978	ake	UPSID	AKAWAIO
210	Rand1968	akz	UPSID	ALABAMA
211	Clairis1977	alc	UPSID	QAWASQAR
212	Duponchel1971	ald	UPSID	ALLADIAN
212	DumestreDuponchel1971	ald	UPSID	ALLADIAN
213	Bergsland1956	ale	UPSID	ALEUT
213	Bergsland1959	ale	UPSID	ALEUT
213	Jakobson1944	ale	UPSID	ALEUT
213	Menovshchikov1968	ale	UPSID	ALEUT
214	Sharpe1972	alh	UPSID	ALAWA
215	Newmark1957	als	UPSID	ALBANIAN
216	Osborn1948	amc	UPSID	AMAHUACA
217	Fast1953	ame	UPSID	AMUESHA
217	Wise1958	ame	UPSID	AMUESHA
218	Lydall1976	amf	UPSID	HAMER
219	Klingenheben1966	amh	UPSID	AMHARIC
219	Leslau1968	amh	UPSID	AMHARIC
219	Sumner1957	amh	UPSID	AMHARIC
220	Anderson1980	amo	UPSID	AMO
220	Di-Luzio1972	amo	UPSID	AMO
221	Bruce1984	amp	UPSID	ALAMBLAK
222	Bauernschmidt1965	amu	UPSID	AMUZGO
222	Longacre1966	amu	UPSID	AMUZGO
223	Burquest1971	anc	UPSID	ANGAS
224	Landaburu1979	ano	UPSID	ANDOKE
225	Douglas1955	ant	UPSID	WESTERN DESERT
225	Douglas1964	ant	UPSID	WESTERN DESERT
226	BurgessHam1968	apn	UPSID	APINAYE
227	Brown1914	apq	UPSID	ANDAMANESE
227	VoegelinVoegelin1966	apq	UPSID	ANDAMANESE
228	Kodzasov1977	aqc	UPSID	ARCHI
229	Rich1963	arl	UPSID	ARABELA
230	EcheverriaContreras1965	arn	UPSID	ARAUCANIAN
230	Key1978	arn	UPSID	ARAUCANIAN
231	Kennedy1960	arz	UPSID	ARABIC
231	Mitchell1962	arz	UPSID	ARABIC
231	Tomiche1964	arz	UPSID	ARABIC
